state_code,date_in_population,time_period,person_id,supervision_district,supervision_level,race
US_OZ,2017-01-01,months_25_60,0009491506,DISTRICT_1,MAXIMUM,BLACK
US_OZ,2017-01-01,months_25_60,0008572916,DISTRICT_1,MAXIMUM,BLACK
US_OZ,2017-01-01,months_25_60,0003646965,DISTRICT_3,MINIMUM,BLACK
US_OZ,2017-01-01,months_25_60,0004257090,DISTRICT_3,MINIMUM,BLACK
US_OZ,2017-01-01,months_25_60,0004958010,DISTRICT_4,MAXIMUM,BLACK
US_OZ,2017-01-01,months_25_60,0006788635,DISTRICT_5,MAXIMUM,BLACK
US_OZ,2017-01-01,months_25_60,0003461139,DISTRICT_5,MAXIMUM,BLACK
US_OZ,2017-01-01,months_25_60,0004973808,DISTRICT_1,MINIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0001565268,DISTRICT_1,MINIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0002560345,DISTRICT_1,MAXIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0006364398,DISTRICT_2,MINIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0004409724,DISTRICT_2,MINIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0001843438,DISTRICT_2,MAXIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0007721437,DISTRICT_2,MAXIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0009591572,DISTRICT_3,MINIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0006115243,DISTRICT_3,MINIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0007824087,DISTRICT_4,MAXIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0008670220,DISTRICT_4,MAXIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0009555945,DISTRICT_5,MINIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0001841855,DISTRICT_5,MINIMUM,HISPANIC
US_OZ,2017-01-01,months_25_60,0004028059,DISTRICT_1,MINIMUM,WHITE
US_OZ,2017-01-01,months_25_60,0008105060,DISTRICT_1,MAXIMUM,WHITE
US_OZ,2017-01-01,months_25_60,0003765068,DISTRICT_2,MINIMUM,WHITE
US_OZ,2017-01-01,months_25_60,0008697910,DISTRICT_2,MINIMUM,WHITE
US_OZ,2017-01-01,months_25_60,0008971202,DISTRICT_2,MAXIMUM,WHITE
US_OZ,2017-01-01,months_25_60,0006906910,DISTRICT_4,MINIMUM,WHITE
US_OZ,2017-01-01,months_25_60,0003529877,DISTRICT_4,MINIMUM,WHITE
US_OZ,2017-01-01,months_25_60,0002362795,DISTRICT_4,MAXIMUM,WHITE
US_OZ,2017-01-01,months_25_60,0004059905,DISTRICT_4,MAXIMUM,WHITE
US_OZ,2017-02-01,months_25_60,0006808143,DISTRICT_1,MINIMUM,BLACK
US_OZ,2017-02-01,months_25_60,0000446950,DISTRICT_1,MAXIMUM,BLACK
US_OZ,2017-02-01,months_25_60,0008761993,DISTRICT_1,MAXIMUM,BLACK
US_OZ,2017-02-01,months_25_60,0004351732,DISTRICT_2,MAXIMUM,BLACK
